CODI,Castellà,Català,Tipus de contracte
75313100-4,Prestaciones de invalidez temporal,Subsidis d'invalidesa temporal,Serveis
75314000-0,Prestaciones de indemnización por desempleo,Subsidis d'atur,Serveis
75320000-5,Planes de pensiones de empleados públicos,Plans de pensions d'empleats públics,Serveis
75330000-8,Prestaciones familiares,Subsidis familiars,Serveis
75340000-1,Prestaciones por hijos a cargo,Subsidis per fills a càrrec,Serveis
76000000-3,Servicios relacionados con la industria del gas y del petróleo,Serveis relacionats amb la indústria del gas i del petroli,Serveis
76100000-4,Servicios profesionales para la industria del gas,Serveis professionals per a la indústria del gas,Serveis
76110000-7,Servicios relacionados con la extracción de gas,Serveis relacionats amb l'extracció de gas,Serveis
76111000-4,Servicios de regasificación,Serveis de regasificació,Serveis
76120000-0,Servicios de buceo relacionados con la extracción de gas,Serveis de busseig relacionats amb l'extracció de gas,Serveis
76121000-7,Servicios de buceo en pozos submarinos,Serveis de busseig en pous submarins,Serveis
76200000-5,Servicios profesionales para la industria del petróleo,Serveis professionals per a la indústria del petroli,Serveis
76210000-8,Servicios relacionados con la extracción de petróleo,Serveis relacionats amb l'extracció de petroli,Serveis
76211000-5,Servicios de sujeción de tuberías colgantes,Serveis de subjecció de canonades penjants,Serveis
76211100-6,Servicios de revestimiento,Serveis de revestiment,Serveis
76211110-9,Servicios de revestimiento de pozos de exploración,Serveis de revestiment de pous d'exploració,Serveis
76211120-2,Servicios de revestimiento de pozos en su emplazamiento,Serveis de revestiment de pous en el seu emplaçament,Serveis
76211200-7,Servicios de diagrafía de lodos de perforación,Serveis de diagrafia dels llots de perforació,Serveis
76300000-6,Servicios de perforación,Serveis de perforació,Serveis
76310000-9,Servicios de perforación relacionados con la extracción de gas,Serveis de perforació relacionats amb l'extracció de gas,Serveis
76320000-2,Servicios de perforación en alta mar,Serveis de perforació en alta mar,Serveis
76330000-5,Servicios de turbosondeo,Serveis de sondatge per perforació de turbina,Serveis
76331000-2,Servicios de turbosondeo espiral,Serveis de sondatge per perforació de turbina en espiral,Serveis
76340000-8,Perforación con extracción de testigos,Perforació amb extracció de testimonis,Serveis
76400000-7,Servicios de posicionamiento de plataformas de sondeo,Serveis de posicionament de plataformes de sondatge,Serveis
76410000-0,Servicios de revestimiento y entubado de pozos,Serveis de revestiment i entubament de pous,Serveis
76411000-7,Servicios de revestimiento de pozos,Serveis de revestiment de pous,Serveis
76411100-8,Servicios de suministro de personal de revestimiento de pozos,Serveis de proveïment de personal de revestiment de pous,Serveis
76411200-9,Servicios de planificación de revestimiento de pozos,Serveis de planificació de revestiment de pous,Serveis
76411300-0,Servicios de fresado de revestimiento de pozos,Serveis de fresatge per al revestiment de pous,Serveis
76411400-1,Servicios de acabado de revestimiento de pozos,Serveis d'acabat de revestiment de pous,Serveis
76420000-3,Servicios de cementación de pozos,Serveis de consolidació de pous amb ciment,Serveis
76421000-0,Servicios de cementación de tuberías,Serveis de consolidació de canonades amb ciment,Serveis
76422000-7,Servicios de cementación de obturadores,Serveis de consolidació d'obturadors amb ciment,Serveis
76423000-4,Servicios de cementación con espuma,Serveis de consolidació amb escuma,Serveis
76430000-6,Servicios de perforación y explotación de pozos,Serveis de perforació i explotació de pous,Serveis
76431000-3,Servicios de perforación de pozos,Serveis de perforació de pous,Serveis
76431100-4,Servicios de control de perforación de pozos,Serveis de control de perforació de pous,Serveis
76431200-5,Servicios de extracción de la herramienta de perforación de pozos,Serveis d'extracció de l'eina de perforació de pous,Serveis
76431300-6,Servicios de deposición de la herramienta de perforación de pozos,Serveis de desmuntatge de l'eina de perforació de pous,Serveis
76431400-7,Servicios de perforación de pozos de tamaño reducido,Serveis de perforació de pous de mida reduïda,Serveis
76431500-8,Servicios de supervisión de perforación de pozos,Serveis de supervisió de perforació de pous,Serveis
76431600-9,Servicios de control del equipo de perforación de pozos,Serveis de control de l'equip de perforació de pous,Serveis
76440000-9,Servicios de diagrafía del sondeo,Serveis de diagrafia dels sondeigs,Serveis
76441000-6,Servicios de diagrafía de pozos entubados,Serveis de diagrafia de pous entubats,Serveis
76442000-3,Servicios de diagrafía de pozos sin entubar,Serveis de diagrafia de pous sense entubar,Serveis
76443000-0,Otros servicios de diagrafía,Altres serveis de diagrafia,Serveis
76450000-2,Servicios de gestión de pozos,Serveis de gestió de pous,Serveis
76460000-5,Servicios de asistencia para pozos,Serveis d'assistència per a pous,Serveis
76470000-8,Servicios de pruebas en pozos,Serveis de proves en pous,Serveis
76471000-5,Servicios de pruebas de fractura de pozos,Serveis de proves de fractura de pous,Serveis
76472000-2,Servicios de inspección o pruebas de emplazamiento de pozos,Serveis d'inspecció o proves d'emplaçament de pous,Serveis
76473000-9,Servicios de pruebas de equipos de pozos,Serveis de proves d'equips de pous,Serveis
76480000-1,Servicios de entubado,Serveis d'entubament,Serveis
76490000-4,Servicios de terminación de pozos,Serveis d'acabament de pous,Serveis
76491000-1,Servicios de colmatado de pozos,Serveis de rebliment de pous,Serveis
76492000-8,Servicios de posicionamiento de pozos,Serveis de posicionament de pous,Serveis
76500000-8,Servicios prestados en tierra y en alta mar,Serveis en terra i en alta mar,Serveis
76510000-1,Servicios prestados en la costa,Serveis en terra,Serveis
76520000-4,Servicios prestados en alta mar,Serveis en alta mar,Serveis
76521000-1,Servicios de instalaciones en alta mar,Serveis d'instal·lacions en alta mar,Serveis
76522000-8,Servicios en alta mar de buques de apoyo logístico,Serveis en alta mar de vaixells de suport logístic,Serveis
76530000-7,Servicios de fondo de pozo,Serveis de fons de pou,Serveis
76531000-4,Servicios de diagrafía en fondo de pozo,Serveis de diagrafia en fons de pou,Serveis
76532000-1,Servicios de bombeo de fondo de pozo,Serveis de bombament de fons de pou,Serveis
76533000-8,Servicios de registro de fondo de pozo,Serveis d'enregistrament de fons de pou,Serveis
76534000-5,Servicios de ampliación de fondo de pozo,Serveis d'ampliació de fons de pou,Serveis
76535000-2,Servicios de perforación de fondo de pozo,Serveis de perforació de fons de pou,Serveis
76536000-9,Servicios de control de vibraciones de fondo de pozo,Serveis de control de vibracions de fons de pou,Serveis
76537000-6,Servicios de herramientas para fondo de pozo,Serveis d'eines de fons de pou,Serveis
76537100-7,Servicios de herramientas de yacimiento petrolífero para fondo de pozo,Serveis d'eines de jaciment petrolífer de fons de pou,Serveis
76600000-9,Servicios de inspección de tuberías,Serveis d'inspecció de conduccions,Serveis
77000000-0,"Servicios agrícolas, forestales, hortícolas, acuícolas y apícolas","Serveis agrícoles, forestals, hortícoles, aqüícoles i apícoles",Serveis
77100000-1,Servicios agrícolas,Serveis agrícoles,Serveis
77110000-4,Servicios relacionados con la producción agrícola,Serveis relacionats amb la producció agrícola,Serveis
77111000-1,Alquiler de maquinaria agrícola con maquinista,Lloguer de maquinària agrícola amb operador,Serveis
77112000-8,Alquiler de segadoras o equipo agrícola con maquinista,Lloguer de segadores o equip agrícola amb operador,Serveis
77120000-7,Servicios de producción de compost,Serveis de compostatge,Serveis
77200000-2,Servicios forestales,Serveis forestals,Serveis
77210000-5,Servicios de explotación forestal,Serveis de desembosc,Serveis
77211000-2,Servicios relacionados con la explotación forestal,Serveis relacionats amb el desembosc,Serveis
77211100-3,Servicios de producción maderera,Serveis d'aprofitament de fusta,Serveis
77211200-4,Transporte de madera en el interior del bosque,Transport de troncs a l'interior del bosc,Serveis
77211300-5,Servicios de deforestación,Serveis de desforestació,Serveis
77211400-6,Servicios de tala de árboles,Serveis de tala d'arbres,Serveis
77211500-7,Servicios de mantenimiento de árboles,Serveis de manteniment d'arbres,Serveis
77211600-8,Siembra de árboles,Sembra d'arbres,Serveis
77220000-8,Servicios de impregnación de madera,Serveis d'impregnació de fusta,Serveis
77230000-1,Servicios relacionados con la silvicultura,Serveis relacionats amb la silvicultura,Serveis
77231000-8,Servicios de gestión forestal,Serveis de gestió forestal,Serveis
77231100-9,Servicios de gestión de recursos forestales,Serveis de gestió de recursos forestals,Serveis
77231200-0,Servicios de control de plagas forestales,Serveis de control de plagues forestals,Serveis
77231300-1,Servicios de administración forestal,Serveis d'administració forestal,Serveis
77231400-2,Servicios de inventario forestal,Serveis d'inventari forestal,Serveis
77231500-3,Servicios de seguimiento o evaluación forestal,Serveis de monitoratge o avaluació forestal,Serveis
77231600-4,Servicios de repoblación forestal,Serveis d'aforestació,Serveis
77231700-5,Servicios de extensión forestal,Serveis d'extensió forestal,Serveis
77231800-6,Servicios de gestión de viveros forestales,Serveis de gestió de vivers forestals,Serveis
77231900-7,Servicios de planificación forestal sectorial,Serveis de planificació sectorial del bosc,Serveis
77300000-3,Servicios hortícolas,Serveis hortícoles,Serveis
77310000-6,Servicios de plantación y mantenimiento de zonas verdes,Serveis de plantació i manteniment de zones verdes,Serveis
77311000-3,Servicios de mantenimiento de jardines y parques,Serveis de manteniment de jardins i parcs,Serveis
77312000-0,Servicios de desbrozo,Serveis d'estassada,Serveis
77312100-1,Servicios de eliminación de malezas,Serveis d'eliminació de males herbes amb herbicides,Serveis
77313000-7,Servicios de mantenimiento de parques,Serveis de manteniment de parcs,Serveis
77314000-4,Servicios de mantenimiento de terrenos,Serveis de manteniment de terrenys,Serveis
77314100-5,Servicios de encespedado,Serveis de cobriment amb gespa,Serveis
